date,station_number,rainfall,rain_period,rain_quality,max_temp,max_temp_days,min_temp,min_temp_days
1/01/2010 0:00,088061,25,1,Y,NA,NA,NA,NA
1/01/2010 0:00,088051,NA,NA,Y,30,1,NA,NA
1/01/2010 0:00,088051,NA,NA,Y,NA,NA,18,1
2/01/2010 0:00,088037,3.2,1,Y,NA,NA,NA,NA
2/01/2010 0:00,088061,10,1,Y,NA,NA,NA,NA
2/01/2010 0:00,088051,NA,NA,Y,23,1,NA,NA
2/01/2010 0:00,088051,NA,NA,Y,NA,NA,15.5,1
3/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
3/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
3/01/2010 0:00,088051,NA,NA,Y,22.5,1,NA,NA
3/01/2010 0:00,088051,NA,NA,Y,NA,NA,9.5,1
4/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
4/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
4/01/2010 0:00,088051,NA,NA,Y,29.5,1,NA,NA
4/01/2010 0:00,088051,NA,NA,Y,NA,NA,8,1
5/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
5/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
5/01/2010 0:00,088051,NA,NA,Y,33.5,1,NA,NA
5/01/2010 0:00,088051,NA,NA,Y,NA,NA,10.6,1
6/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
6/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
6/01/2010 0:00,088051,NA,NA,Y,26.3,1,NA,NA
6/01/2010 0:00,088051,NA,NA,Y,NA,NA,8.8,1
7/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
7/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
7/01/2010 0:00,088051,NA,NA,Y,30.2,1,NA,NA
7/01/2010 0:00,088051,NA,NA,Y,NA,NA,7,1
8/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
8/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
8/01/2010 0:00,088051,NA,NA,Y,35.1,1,NA,NA
8/01/2010 0:00,088051,NA,NA,Y,NA,NA,10.9,1
9/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
9/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
9/01/2010 0:00,088051,NA,NA,Y,40.5,1,NA,NA
9/01/2010 0:00,088051,NA,NA,Y,NA,NA,14.3,1
10/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
10/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
10/01/2010 0:00,088051,NA,NA,Y,41.7,1,NA,NA
10/01/2010 0:00,088051,NA,NA,Y,NA,NA,15.1,1
11/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
11/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
11/01/2010 0:00,088051,NA,NA,Y,42,1,NA,NA
11/01/2010 0:00,088051,NA,NA,Y,NA,NA,17.2,1
12/01/2010 0:00,088037,0.4,1,Y,NA,NA,NA,NA
12/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
12/01/2010 0:00,088051,NA,NA,Y,37.2,1,NA,NA
12/01/2010 0:00,088051,NA,NA,Y,NA,NA,24.7,1
13/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
13/01/2010 0:00,088061,2,1,Y,NA,NA,NA,NA
13/01/2010 0:00,088051,NA,NA,Y,22.7,1,NA,NA
13/01/2010 0:00,088051,NA,NA,Y,NA,NA,12.9,1
14/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
14/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
14/01/2010 0:00,088051,NA,NA,Y,26.8,1,NA,NA
14/01/2010 0:00,088051,NA,NA,Y,NA,NA,10.9,1
15/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
15/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
15/01/2010 0:00,088051,NA,NA,Y,32.2,1,NA,NA
15/01/2010 0:00,088051,NA,NA,Y,NA,NA,11.1,1
16/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
16/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
16/01/2010 0:00,088051,NA,NA,Y,33.7,1,NA,NA
16/01/2010 0:00,088051,NA,NA,Y,NA,NA,11.8,1
17/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
17/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
17/01/2010 0:00,088051,NA,NA,Y,22.5,1,NA,NA
17/01/2010 0:00,088051,NA,NA,Y,NA,NA,8.8,1
18/01/2010 0:00,088037,0.6,1,Y,NA,NA,NA,NA
18/01/2010 0:00,088061,2,1,Y,NA,NA,NA,NA
18/01/2010 0:00,088051,NA,NA,Y,20.6,1,NA,NA
18/01/2010 0:00,088051,NA,NA,Y,NA,NA,6.6,1
19/01/2010 0:00,088037,1,1,Y,NA,NA,NA,NA
19/01/2010 0:00,088061,6,1,Y,NA,NA,NA,NA
19/01/2010 0:00,088051,NA,NA,Y,24.5,1,NA,NA
19/01/2010 0:00,088051,NA,NA,Y,NA,NA,6.6,1
20/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
