Subsite_Code,Subsite_Name,Subsite_Type,System,Zone,date_sampled,Sample_No,Measure,Result,Result_Qualifier,Result_Text,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117331,Total Nitrogen,0.6,NULL,0.6,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117331,Total Phosphorus,0.08,NULL,0.08,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117332,Turbidity,7.2,NULL,7.2,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117334,Electrical Conductivity,250,NULL,250,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117334,pH,7.8,NULL,7.8,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117331,Ammonia - Nitrogen,0.2,NULL,0.2,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117333,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117333,Nitrate - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117333,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117334,Colour,70,NULL,70,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117336,Site Temp,17.1,NULL,17.1,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117337,Coliform,2400,>,>2400,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/01/2023,8117337,E Coli,54,NULL,54,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Silver,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Aluminium,0.21,NULL,0.21,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Arsenic,0.005,NULL,0.005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Boron,0.02,NULL,0.02,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Barium,0.034,NULL,0.034,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Beryllium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Cadmium,0.0001,<,<0.0002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Cobalt,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Chromium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Copper,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Iron,1.7,NULL,1.7,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Mercury,0.00005,<,<0.0001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Manganese,0.24,NULL,0.24,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Molybdenum,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Nickel,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Lead,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Antimony,0.001,NULL,0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Selenium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Tin,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Strontium,0.1,NULL,0.1,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Titanium,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Thallium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Vanadium,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117840,Zinc,0.005,NULL,0.005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071791,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071792,Turbidity,3.7,NULL,3.7,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071793,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071793,Nitrate - Nitrogen,0.02,NULL,0.02,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071793,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071794,Colour,70,NULL,70,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071794,Electrical Conductivity,310,NULL,310,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071794,pH,7.3,NULL,7.3,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071791,Total Phosphorus,0.35,NULL,0.35,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071795,Site Temp,16,NULL,16,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,NULL,88,NULL,88,%
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Aldrin,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Total Aldrin Dieldrin,0.00005,<,<0.0001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Chlordane,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,DDT,0.00003,<,<0.00006,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Dieldrin,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Heptachlor,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Heptachlor epoxide,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Lindane,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071796,Coliform,2000,NULL,2000,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071796,E Coli,20,NULL,20,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,MCPA,0.005,<,<0.01,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,"2,4-D",0.005,<,<0.01,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8071791,Total Nitrogen,2.2,NULL,2.2,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/01/2023,8117839,Total DDT,0.00003,NULL,NULL,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132494,Total Nitrogen,1.8,NULL,1.8,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132494,Total Phosphorus,0.06,NULL,0.06,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132498,Site Temp,11,NULL,11,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132499,Coliform,2400,>,>2400,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132499,E Coli,170,NULL,170,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132494,Ammonia - Nitrogen,0.7,NULL,0.7,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132495,Turbidity,13,NULL,13,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132496,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132496,Nitrate - Nitrogen,0.01,NULL,0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132496,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132497,Colour,70,NULL,70,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132497,Electrical Conductivity,420,NULL,420,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,3/02/2023,8132497,pH,7.3,NULL,7.3,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,17/02/2023,8150338,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,2/03/2023,8162912,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,17/03/2023,8209904,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,30/03/2023,8254120,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,12/04/2023,8309237,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,27/04/2023,8353285,No Sample,0,NULL,No sample,
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401491,Turbidity,3.6,NULL,3.6,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401493,Colour,50,NULL,50,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401493,Electrical Conductivity,450,NULL,450,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401493,pH,7.3,NULL,7.3,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401495,Coliform,2000,NULL,2000,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401495,E Coli,51,NULL,51,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401494,Site Temp,11,NULL,11,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401490,Total Phosphorus,0.09,NULL,0.09,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401490,Total Nitrogen,0.7,NULL,0.7,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401490,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401492,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401492,Nitrate - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,11/05/2023,8401492,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450975,Site Temp,6.5,NULL,6.5,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450976,Coliform,610,NULL,610,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450976,E Coli,12,NULL,12,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450972,Turbidity,2.8,NULL,2.8,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450974,Colour,35,NULL,35,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450974,Electrical Conductivity,500,NULL,500,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450974,pH,7,NULL,7,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450971,Total Nitrogen,0.9,NULL,0.9,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450971,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450971,Total Phosphorus,0.1,NULL,0.1,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450973,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450973,Nitrate - Nitrogen,0.37,NULL,0.37,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,25/05/2023,8450973,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496525,Site Temp,12,NULL,12,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496526,Coliform,2400,>,>2400,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496526,E Coli,2400,>,>2400,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496521,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496522,Turbidity,57,NULL,57,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496524,Colour,120,NULL,120,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496524,Electrical Conductivity,110,NULL,110,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496524,pH,7,NULL,7,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496521,Total Nitrogen,1.7,NULL,1.7,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496521,Total Phosphorus,0.18,NULL,0.18,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496523,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496523,Nitrate - Nitrogen,0.29,NULL,0.29,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,8/06/2023,8496523,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540534,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540535,Turbidity,15,NULL,15,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540536,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540536,Nitrate - Nitrogen,0.1,NULL,0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540536,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540537,Colour,120,NULL,120,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540537,Electrical Conductivity,120,NULL,120,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540537,pH,7.2,NULL,7.2,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540539,Coliform,2400,>,>2400,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540539,E Coli,130,NULL,130,MPN/100mL
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540538,Site Temp,5.4,NULL,5.4,°C
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540534,Total Phosphorus,0.08,NULL,0.08,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,20/06/2023,8540534,Total Nitrogen,0.6,NULL,0.6,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,MCPA,0.005,<,<0.01,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,"2,4-D",0.005,<,<0.01,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,NULL,121,NULL,121,%
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Aldrin,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Total Aldrin Dieldrin,0.00005,<,<0.0001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Chlordane,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,DDT,0.00003,<,<0.00006,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Dieldrin,0.000005,<,<0.00001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Heptachlor,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Heptachlor epoxide,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Lindane,0.000025,<,<0.00005,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Silver,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Aluminium,1.1,NULL,1.1,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Arsenic,0.001,NULL,0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Boron,0.01,<,<0.02,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Barium,0.016,NULL,0.016,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Beryllium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Cadmium,0.0001,<,<0.0002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Cobalt,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Chromium,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Copper,0.001,NULL,0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Iron,1,NULL,1,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Mercury,0.00005,<,<0.0001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Manganese,0.014,NULL,0.014,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Molybdenum,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Nickel,0.002,NULL,0.002,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Lead,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Antimony,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Selenium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Tin,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Strontium,0.034,NULL,0.034,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Titanium,0.031,NULL,0.031,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Thallium,0.0005,<,<0.001,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Vanadium,0.002,NULL,0.002,mg/L
