Subsite_Code,Subsite_Name,Subsite_Type,System,Zone,date_sampled,Sample_No,Measure,Result,Result_Qualifier,Result_Text,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,7/12/2023,9157653,Turbidity,5,NULL,5,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,7/12/2023,9157654,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,7/12/2023,9157654,Nitrate - Nitrogen,0.02,NULL,0.02,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,7/12/2023,9157654,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,7/12/2023,9157655,Electrical Conductivity,390,NULL,390,uS/cm
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,7/12/2023,9157679,Turbidity,10,NULL,10,NTU
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,7/12/2023,9157680,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,7/12/2023,9157680,Nitrate - Nitrogen,0.005,<,<0.01,mg N / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,7/12/2023,9157680,Phosphate,0.005,<,<0.01,mg P / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,7/12/2023,9157681,Electrical Conductivity,250,NULL,250,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,24/11/2023,9091224,Turbidity,3,NULL,3,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,24/11/2023,9091227,Electrical Conductivity,430,NULL,430,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,24/11/2023,9091226,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,24/11/2023,9091226,Nitrate - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,24/11/2023,9091226,Phosphate,0.005,<,<0.01,mg P / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,24/11/2023,9091265,Turbidity,13,NULL,13,NTU
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,24/11/2023,9091267,Electrical Conductivity,220,NULL,220,uS/cm
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,24/11/2023,9091266,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,24/11/2023,9091266,Nitrate - Nitrogen,0.02,NULL,0.02,mg N / L
SITE2,Little Coliban River @ Inlet to Upper Coliban Res,Catchment,Kyneton,Kyneton,24/11/2023,9091266,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,10/11/2023,9044336,Turbidity,6,NULL,6,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,10/11/2023,9044338,Electrical Conductivity,350,NULL,350,uS/cm
